file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;cadical_hybrid_res;cadical_hybrid_time;z3_rect_res;z3_rect_time;z3_core;z3_core_time;z3_hybrid;z3_hybrid_time;meancop_res;meancop_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/HWV/HWV026-1.p;255;30.011029322;255;30.019191157;255;30.012457139;255;30.020033338;255;30.011446834;255;30.018310788;0;.006943960;255;30.174102454
./TPTP-v8.2.0/Problems/SYN/SYN345-1.p;0;.567838477;0;.029858620;0;.029521191;0;1.836186353;0;.044770240;0;.042594757;0;.004413777;0;.032488956
./TPTP-v8.2.0/Problems/HWV/HWV084+1.p;255;30.043592005;255;30.008366583;255;30.053058962;255;30.044790901;255;30.011989237;255;30.045137747;255;30.004077180;255;30.027197746
./TPTP-v8.2.0/Problems/SYN/SYN339-1.p;0;.028584543;0;.028405318;0;.028086569;0;.039128877;0;.033783063;0;.034774492;0;.004349946;0;.029786148
./TPTP-v8.2.0/Problems/HWV/HWV055+1.p;255;30.091495312;255;30.057221498;255;30.123528570;255;30.076520952;255;30.054928521;255;30.078454404;255;30.009663968;255;30.020237015
./TPTP-v8.2.0/Problems/SYN/SYN261-1.p;0;.480536033;0;.217715131;0;2.761372951;0;.212918553;0;.463406098;0;.114237271;0;.009579166;0;.052538873
./TPTP-v8.2.0/Problems/HWV/HWV061-1.p;255;30.125776321;255;30.079370614;255;30.145476492;255;30.130324059;255;30.112563615;255;30.135958950;255;30.013434553;0;16.619369346
./TPTP-v8.2.0/Problems/SYN/SYN029-1.p;0;.026493193;0;.028298995;0;.026657138;0;.044705537;0;.049288110;0;.035757019;0;.003963184;0;.025584407
./TPTP-v8.2.0/Problems/SYN/SYN009-4.p;0;.062970494;0;.031088495;0;.031296362;0;.127968696;0;.039121858;0;.038472518;0;.005236731;0;.029977623
./TPTP-v8.2.0/Problems/HWV/HWV021-1.p;255;30.010989475;255;30.014695025;255;30.011556157;255;30.015828134;255;30.011192808;255;30.017985723;255;30.004169178;0;.039259391
./TPTP-v8.2.0/Problems/HWV/HWV015-2.p;255;30.020933612;255;30.009358034;255;30.009665705;255;30.031590152;255;30.009199585;255;30.018038990;255;30.004593948;0;.042494234
./TPTP-v8.2.0/Problems/SYN/SYN711-1.p;0;21.059313939;0;.720099666;0;.560041324;255;30.013123136;0;.217461773;0;.238860720;0;.005226670;0;.254770868
./TPTP-v8.2.0/Problems/SYN/SYN195-1.p;255;30.017919229;0;.845335035;0;8.036166060;255;30.032048362;0;.782557949;0;.107417934;0;.008986189;0;.052241415
./TPTP-v8.2.0/Problems/HWV/HWV005-1.p;255;30.009027814;255;30.008184156;255;30.009532114;255;30.011832104;255;30.007987457;255;30.013643809;0;.175858266;0;.030443817
./TPTP-v8.2.0/Problems/HWV/HWV029-2.p;255;30.024463602;255;30.007414964;255;30.011604807;255;30.033116974;255;30.007596557;255;30.015482098;255;30.003861238;255;30.140541492
./TPTP-v8.2.0/Problems/SYN/SYN055-1.p;0;.048140707;0;.033017031;0;.028193852;0;.092115413;0;.067943136;0;.034274577;0;.004280363;0;.026520774
./TPTP-v8.2.0/Problems/SYN/SYN285-1.p;0;7.483322558;0;.625689924;0;1.721776577;0;17.196721554;0;2.002084692;0;.129888061;0;.009601506;0;.061298056
./TPTP-v8.2.0/Problems/SYN/SYN632-1.p;255;30.007698471;0;.103092980;0;7.146919189;255;30.010845946;0;9.691139320;0;3.234191099;0;.008219316;0;.051054690
./TPTP-v8.2.0/Problems/HWV/HWV060+1.p;255;30.088254163;255;30.052872818;255;30.101850046;255;30.064910978;255;30.053654366;255;30.090728339;255;30.010024500;255;30.019447772
./TPTP-v8.2.0/Problems/HWV/HWV102-1.p;255;30.084294555;255;30.028778920;255;30.099466294;255;30.061881188;255;30.017841321;255;30.110847127;255;30.008095353;255;30.041523306
./TPTP-v8.2.0/Problems/SYN/SYN696-1.p;255;30.009764581;255;30.008541207;255;30.008451979;255;30.010676491;255;30.018579166;255;30.023194521;0;.006006063;0;.042297208
./TPTP-v8.2.0/Problems/SYN/SYN221-1.p;255;30.013044720;0;7.846752222;0;6.304872023;255;30.020268762;255;30.005205110;0;.141128694;0;.007613139;0;.050725842
./TPTP-v8.2.0/Problems/SYN/SYN581-1.p;255;30.007710839;255;30.007253480;255;30.008641627;255;30.011296033;255;30.009014560;255;30.014760738;0;.038136268;0;.091236287
./TPTP-v8.2.0/Problems/SYN/SYN647-1.p;255;30.006442990;255;30.007167915;255;30.008873352;255;30.012580298;255;30.015081272;255;30.016712323;0;.098523787;0;.035489882
./TPTP-v8.2.0/Problems/SYN/SYN562-1.p;0;.729622641;0;.036942614;0;.031201358;0;1.007060221;0;.049402373;0;.044940715;0;.003485070;0;.027650786
./TPTP-v8.2.0/Problems/SYN/SYN103-1.p;0;.049974339;0;.049496395;0;3.271323085;0;.070284834;0;.062528500;0;.052893063;0;.008968219;0;.029409236
./TPTP-v8.2.0/Problems/HWV/HWV105-1.p;255;30.079392687;255;30.025955544;255;30.073572439;255;30.081594687;255;30.013912006;255;30.097491505;255;30.006242812;255;30.015912396
./TPTP-v8.2.0/Problems/HWV/HWV114-1.p;255;30.035087757;255;30.013488696;255;30.042255451;255;30.039455070;255;30.010559760;255;30.054759927;255;30.004487306;255;30.017765007
./TPTP-v8.2.0/Problems/SYN/SYN649-1.p;255;30.007829656;0;1.601938038;0;.082741433;255;30.010853470;0;.361055777;0;.090259789;0;.006350443;0;.033624428
./TPTP-v8.2.0/Problems/HWV/HWV113-1.p;255;30.056086442;255;30.009838612;255;30.054001932;255;30.056507764;255;30.010300556;255;30.036580908;255;30.004464261;255;30.012613334
./TPTP-v8.2.0/Problems/SYN/SYN098-1.002.p;0;.040833326;0;.039579030;0;.036378297;0;.102862182;0;.113294732;0;.038626352;0;.004697105;0;.026595606
./TPTP-v8.2.0/Problems/HWV/HWV003-2.p;255;30.008509026;255;30.008612292;255;30.009819794;255;30.011150054;255;30.012113965;255;30.017395993;255;30.003195292;255;30.128141439
./TPTP-v8.2.0/Problems/SYN/SYN101-1.002.002.p;0;.072629091;0;.094724808;0;.030906430;0;.156712482;0;.232510415;0;.035239544;0;.004347555;0;.028669736
./TPTP-v8.2.0/Problems/HWV/HWV052-1.005.003.p;255;30.020870385;255;30.007252126;255;30.009773537;255;30.025686436;255;30.006984442;255;30.019856838;255;30.004182436;255;30.012735761
./TPTP-v8.2.0/Problems/HWV/HWV045-1.p;255;30.032437513;255;30.008807096;255;30.012686006;255;30.030975384;255;30.006960447;255;30.021837211;255;30.003012357;255;30.020163731
./TPTP-v8.2.0/Problems/SYN/SYN104-1.p;0;.051676498;0;.050459223;0;2.994284610;0;.069830241;0;.062275004;0;.053648125;0;.008882466;0;.029810129
./TPTP-v8.2.0/Problems/SYN/SYN090-1.008.p;255;30.007593312;0;.075922937;0;.032730833;255;30.004793110;0;.409728409;0;.037666945;0;.015009932;0;.023296960
./TPTP-v8.2.0/Problems/HWV/HWV039-1.p;255;30.032874316;255;30.008336194;255;30.013323507;255;30.037641701;255;30.009712682;255;30.018992196;255;30.004002585;255;30.010745649
./TPTP-v8.2.0/Problems/HWV/HWV020-3.p;255;30.021304699;255;30.008754576;255;30.009888253;255;30.031358198;255;30.011663908;255;30.016225910;255;30.003652800;0;.086738987
./TPTP-v8.2.0/Problems/SYN/SYN144-1.p;255;30.019441389;255;30.006154012;0;6.465621102;255;30.024326324;255;30.005615155;0;.892830348;0;.027894633;0;.055531499
./TPTP-v8.2.0/Problems/SYN/SYN635-1.p;255;30.009500204;0;1.131675043;0;.427914574;255;30.014146558;0;1.398360565;0;1.379640675;0;.005870459;0;.030642363
./TPTP-v8.2.0/Problems/HWV/HWV078+1.p;255;30.094489799;255;30.010441733;255;30.081762860;255;30.071297522;255;30.016278602;255;30.059761436;255;30.004219237;255;30.010614262
./TPTP-v8.2.0/Problems/SYN/SYN326-1.p;0;.038084747;0;.032758403;0;.032042803;0;.063629622;0;.042571965;0;.041740521;0;.004472909;0;.029056767
./TPTP-v8.2.0/Problems/SYN/SYN600-1.p;255;30.008019225;0;.136154212;0;.139848647;255;30.010751424;0;.318818290;0;.272626719;0;.005403966;0;.031758364
./TPTP-v8.2.0/Problems/SYN/SYN031-1.p;0;.039192769;0;.031735453;0;.029269783;0;.085475231;0;.057463894;0;.036729298;0;.004809349;0;.062555951
