file;cadical_rect_res;cadical_rect_time;cadical_core_res;cadical_core_time;meancop_res;meancop_time;mbqi_res;mbqi_time;ematching_res;ematching_time
./TPTP-v8.2.0/Problems/LAT/LAT201-1.p;255;30.011628731;255;30.007505836;255;30.003525020;255;30.009742164;255;30.104609052
./TPTP-v8.2.0/Problems/LAT/LAT273-1.p;255;30.132569147;255;30.007273403;0;.182708121;255;30.034908788;255;30.246751076
./TPTP-v8.2.0/Problems/LAT/LAT206-1.p;255;30.007693589;255;30.006867020;255;30.003010189;255;30.008628918;255;30.110190750
./TPTP-v8.2.0/Problems/LAT/LAT262-1.p;255;30.058760667;255;30.006439080;0;.328117379;255;30.014737438;255;30.227165793
./TPTP-v8.2.0/Problems/LAT/LAT096-1.p;255;30.007327323;255;30.008335128;255;30.003884539;255;30.012617666;255;30.013545438
./TPTP-v8.2.0/Problems/LAT/LAT208-1.p;255;30.007831914;255;30.006765233;255;30.003321805;255;30.009408599;255;30.092327606
./TPTP-v8.2.0/Problems/LAT/LAT273-2.p;0;.057183496;0;.031582361;0;.004656621;0;.036666113;0;.029510587
./TPTP-v8.2.0/Problems/LAT/LAT075-1.p;255;30.007413530;255;30.008423094;255;30.003468687;255;30.007058062;255;30.013358584
./TPTP-v8.2.0/Problems/LAT/LAT091-1.p;255;30.008525681;255;30.007729147;255;30.003889289;255;30.007525435;255;30.081048363
./TPTP-v8.2.0/Problems/LAT/LAT072-1.p;255;30.007991195;255;30.007750636;255;30.003500178;255;30.006837026;255;30.028421405
./TPTP-v8.2.0/Problems/LAT/LAT040-1.p;255;30.007633128;255;30.008858428;255;30.003801477;255;30.010153364;255;30.095274283
./TPTP-v8.2.0/Problems/LAT/LAT164-1.p;255;30.009850656;255;30.007721748;255;30.004169087;255;30.008216913;255;30.106460974
./TPTP-v8.2.0/Problems/LAT/LAT163-1.p;255;30.008976093;255;30.006927187;255;30.003677244;255;30.007187227;255;30.123578488
./TPTP-v8.2.0/Problems/LAT/LAT151-1.p;255;30.007593926;255;30.007177843;255;30.004395712;255;30.009413055;255;30.132442798
./TPTP-v8.2.0/Problems/LAT/LAT246-1.p;255;30.006938069;255;30.006284309;255;30.002849011;255;30.008503740;255;30.132709115
./TPTP-v8.2.0/Problems/LAT/LAT009-1.p;255;30.008513400;255;30.007043870;255;30.003877019;255;30.009470286;255;30.150154449
./TPTP-v8.2.0/Problems/LAT/LAT180-1.p;255;30.007337469;255;30.006391203;255;30.003026606;255;30.009209019;255;30.148735751
./TPTP-v8.2.0/Problems/LAT/LAT005-6.p;255;30.010515308;255;30.005385743;255;30.003215448;255;30.008065465;255;30.085352112
./TPTP-v8.2.0/Problems/LAT/LAT156-1.p;255;30.007402077;255;30.007360115;255;30.003308231;255;30.009947995;255;30.119078868
./TPTP-v8.2.0/Problems/LAT/LAT007-1.p;255;30.007989449;255;30.007700580;255;30.003483471;255;30.007324784;255;30.057297431
./TPTP-v8.2.0/Problems/LAT/LAT241-1.p;255;30.009743448;255;30.007880778;255;30.003463434;255;30.010099028;255;30.135647788
./TPTP-v8.2.0/Problems/LAT/LAT233-1.p;255;30.009026318;255;30.006759568;255;30.003611707;255;30.008306871;255;30.121507600
./TPTP-v8.2.0/Problems/LAT/LAT158-1.p;255;30.008870075;255;30.006565993;255;30.003613157;255;30.008385174;255;30.145777931
./TPTP-v8.2.0/Problems/LAT/LAT187-1.p;255;30.008897006;255;30.006569694;255;30.004070580;255;30.008894427;255;30.179785155
./TPTP-v8.2.0/Problems/LAT/LAT248-1.p;255;30.007862286;255;30.006124699;255;30.003781550;255;30.007710885;255;30.109072706
./TPTP-v8.2.0/Problems/LAT/LAT225-1.p;255;30.008610125;255;30.006453497;255;30.003833140;255;30.009592182;255;30.116088267
./TPTP-v8.2.0/Problems/LAT/LAT234-1.p;255;30.008000270;255;30.006546480;255;30.002775853;255;30.007239001;255;30.148651194
./TPTP-v8.2.0/Problems/LAT/LAT274-1.p;255;30.128269346;255;30.007080488;255;30.003465796;255;30.011182928;255;30.285522752
./TPTP-v8.2.0/Problems/LAT/LAT398-2.p;255;30.011626814;255;30.007419882;255;30.002909497;255;30.008311639;255;30.163443677
./TPTP-v8.2.0/Problems/LAT/LAT198-1.p;255;30.009005925;255;30.006814396;255;30.003595854;255;30.010318001;255;30.150582283
./TPTP-v8.2.0/Problems/LAT/LAT189-1.p;255;30.007982020;255;30.006918070;255;30.003506544;255;30.008534876;255;30.217931254
./TPTP-v8.2.0/Problems/LAT/LAT222-1.p;255;30.007835375;255;30.007249378;255;30.003305767;255;30.011354948;255;30.169160016
./TPTP-v8.2.0/Problems/LAT/LAT257-1.p;255;30.008679784;255;30.006575608;255;30.003488150;255;30.007478665;255;30.135574642
./TPTP-v8.2.0/Problems/LAT/LAT196-1.p;255;30.008427929;255;30.006092657;255;30.003344127;255;30.014734075;255;30.178927039
./TPTP-v8.2.0/Problems/LAT/LAT250-1.p;255;30.008849150;255;30.006208761;255;30.003666596;255;30.011814970;255;30.177325467
./TPTP-v8.2.0/Problems/LAT/LAT147-1.p;255;30.009608029;255;30.006810245;255;30.002921176;255;30.008987266;255;30.164056242
./TPTP-v8.2.0/Problems/LAT/LAT140-1.p;255;30.007738060;255;30.007579884;255;30.003027998;255;30.009431837;255;30.135865239
./TPTP-v8.2.0/Problems/LAT/LAT149-1.p;255;30.008619115;255;30.007795542;255;30.003537712;255;30.009858239;255;30.203427855
./TPTP-v8.2.0/Problems/LAT/LAT191-1.p;255;30.009825435;255;30.007073222;255;30.003644893;255;30.009634832;255;30.163656752
./TPTP-v8.2.0/Problems/LAT/LAT011-1.p;255;30.009949969;255;30.007792861;255;30.003480430;255;30.009493949;255;30.218837876
./TPTP-v8.2.0/Problems/LAT/LAT080-1.p;255;30.007803786;255;30.006257146;255;30.003751422;255;30.013993691;255;30.017359197
./TPTP-v8.2.0/Problems/LAT/LAT064-1.p;255;30.008305242;255;30.006738151;255;30.003930659;255;30.008765916;255;30.137962062
./TPTP-v8.2.0/Problems/LAT/LAT175-1.p;255;30.008068175;255;30.007079737;255;30.003419355;255;30.008819287;255;30.146597905
./TPTP-v8.2.0/Problems/LAT/LAT397-1.p;255;30.009408107;255;30.006803118;255;30.003880775;255;30.010980461;255;30.093695549
./TPTP-v8.2.0/Problems/LAT/LAT018-1.p;255;30.009033663;255;30.006682870;255;30.003214532;255;30.006503929;255;30.338276776
./TPTP-v8.2.0/Problems/LAT/LAT259-1.p;255;30.169796660;255;30.007586983;255;30.003807867;255;30.012812522;255;30.290047512
./TPTP-v8.2.0/Problems/LAT/LAT281-1.p;255;30.152631981;255;30.007966741;255;30.003687372;255;30.010171193;255;30.267356903
